img_id,ground_truth,prediction,abs_error,MAE,RMSE,R2
img_0_0,65.0,65.65090942382812,0.650909423828125,,,
img_1_0,77.0,68.15098571777344,8.849014282226562,,,
img_2_0,72.0,68.88787078857422,3.1121292114257812,,,
img_3_0,69.0,70.20012664794922,1.2001266479492188,,,
img_4_0,66.0,65.95047760009766,0.04952239990234375,,,
img_5_0,68.0,74.61257934570312,6.612579345703125,,,
img_6_0,71.0,71.43278503417969,0.4327850341796875,,,
img_7_0,72.0,69.61166381835938,2.388336181640625,,,
img_8_0,72.0,75.0488510131836,3.0488510131835938,,,
img_9_0,68.0,66.9073715209961,1.0926284790039062,,,
img_10_0,67.0,76.02066040039062,9.020660400390625,,,
img_11_0,70.0,68.88589477539062,1.114105224609375,,,
img_12_0,69.0,65.91441345214844,3.0855865478515625,,,
img_13_0,68.0,68.27934265136719,0.2793426513671875,,,
img_14_0,69.0,71.34782409667969,2.3478240966796875,,,
img_15_0,73.0,67.44424438476562,5.555755615234375,,,
img_16_0,78.0,73.27105712890625,4.72894287109375,,,
img_17_0,66.0,72.68116760253906,6.6811676025390625,,,
img_18_0,66.0,71.29900360107422,5.299003601074219,,,
img_19_0,64.0,62.75322341918945,1.2467765808105469,,,
img_20_0,67.0,69.41812133789062,2.418121337890625,,,
img_21_0,61.0,59.81494140625,1.18505859375,,,
img_22_0,65.0,65.92884063720703,0.9288406372070312,,,
img_23_0,62.0,67.90225219726562,5.902252197265625,,,
img_24_0,80.0,64.36083221435547,15.639167785644531,,,
img_25_0,74.0,73.02137756347656,0.9786224365234375,,,
img_26_0,60.0,62.4781494140625,2.4781494140625,,,
img_27_0,55.0,57.228187561035156,2.2281875610351562,,,
img_28_0,80.0,76.1708984375,3.8291015625,,,
img_29_0,64.0,61.8822021484375,2.1177978515625,,,
img_30_0,68.0,66.44903564453125,1.55096435546875,,,
img_31_0,58.0,53.45244216918945,4.547557830810547,,,
img_32_0,73.0,75.61473846435547,2.6147384643554688,,,
img_33_0,63.0,75.62308502197266,12.623085021972656,,,
img_34_0,55.0,68.46714782714844,13.467147827148438,,,
img_35_0,66.0,60.129356384277344,5.870643615722656,,,
img_36_0,48.0,61.07386016845703,13.073860168457031,,,
img_37_0,74.0,73.82618713378906,0.1738128662109375,,,
img_38_0,52.0,58.784095764160156,6.784095764160156,,,
img_39_0,65.0,74.75577545166016,9.755775451660156,,,
img_40_0,55.0,63.662227630615234,8.662227630615234,,,
img_41_0,71.0,69.00723266601562,1.992767333984375,,,
img_42_0,51.0,57.37631607055664,6.376316070556641,,,
img_43_0,74.0,69.09999084472656,4.9000091552734375,,,
img_44_0,54.0,55.931007385253906,1.9310073852539062,,,
img_45_0,53.0,62.49759292602539,9.49759292602539,,,
img_46_0,72.0,69.63489532470703,2.3651046752929688,,,
img_47_0,73.0,68.76434326171875,4.23565673828125,,,
img_48_0,54.0,67.93526458740234,13.935264587402344,,,
img_49_0,78.0,77.60417175292969,0.3958282470703125,,,
img_50_0,73.0,66.43132781982422,6.568672180175781,,,
img_51_0,65.0,67.52323150634766,2.5232315063476562,,,
img_52_0,74.0,81.22993469238281,7.2299346923828125,,,
img_53_0,73.0,71.70466613769531,1.2953338623046875,,,
img_54_0,66.0,64.43818664550781,1.5618133544921875,,,
img_55_0,54.0,61.5965690612793,7.596569061279297,,,
img_56_0,58.0,66.30387878417969,8.303878784179688,,,
img_57_0,74.0,64.40150451660156,9.598495483398438,,,
img_58_0,63.0,68.24031066894531,5.2403106689453125,,,
img_59_0,76.0,73.47659301757812,2.523406982421875,,,
img_60_0,59.0,63.02789306640625,4.02789306640625,,,
img_61_0,82.0,70.48358154296875,11.51641845703125,,,
img_62_0,56.0,64.9806900024414,8.980690002441406,,,
img_63_0,68.0,62.66509246826172,5.334907531738281,,,
img_64_0,75.0,62.44926452636719,12.550735473632812,,,
img_65_0,53.0,58.022499084472656,5.022499084472656,,,
img_66_0,51.0,64.34173583984375,13.34173583984375,,,
img_67_0,45.0,58.34052658081055,13.340526580810547,,,
img_68_0,74.0,74.2377700805664,0.23777008056640625,,,
img_69_0,68.0,74.51367950439453,6.513679504394531,,,
img_70_0,75.0,68.996337890625,6.003662109375,,,
img_71_0,65.0,62.89065170288086,2.1093482971191406,,,
img_72_0,71.0,65.49850463867188,5.501495361328125,,,
img_73_0,69.0,66.10358428955078,2.8964157104492188,,,
img_74_0,73.0,70.01094055175781,2.9890594482421875,,,
img_75_0,78.0,74.0933837890625,3.9066162109375,,,
img_76_0,70.0,64.2705078125,5.7294921875,,,
img_77_0,71.0,70.36669921875,0.63330078125,,,
img_78_0,73.0,66.55801391601562,6.441986083984375,,,
img_79_0,70.0,74.93083953857422,4.930839538574219,,,
img_80_0,65.0,63.054107666015625,1.945892333984375,,,
img_81_0,83.0,76.16813659667969,6.8318634033203125,,,
img_82_0,81.0,71.93093872070312,9.069061279296875,,,
img_83_0,69.0,69.73603057861328,0.7360305786132812,,,
img_84_0,66.0,64.1639404296875,1.8360595703125,,,
img_85_0,62.0,76.12728118896484,14.127281188964844,,,
img_86_0,68.0,66.991943359375,1.008056640625,,,
img_87_0,77.0,69.68533325195312,7.314666748046875,,,
img_88_0,72.0,68.26567840576172,3.7343215942382812,,,
img_89_0,66.0,58.99415969848633,7.005840301513672,,,
img_90_0,67.0,70.72561645507812,3.725616455078125,,,
img_91_0,72.0,64.32301330566406,7.6769866943359375,,,
img_92_0,84.0,79.38946533203125,4.61053466796875,,,
img_93_0,63.0,60.70322036743164,2.2967796325683594,,,
img_94_0,73.0,70.17733001708984,2.8226699829101562,,,
img_95_0,72.0,72.9086685180664,0.9086685180664062,,,
img_96_0,81.0,77.00790405273438,3.992095947265625,,,
img_97_0,66.0,61.64262771606445,4.357372283935547,,,
img_98_0,79.0,69.79668426513672,9.203315734863281,,,
img_99_0,63.0,64.37828826904297,1.3782882690429688,,,
img_100_0,67.0,76.20539855957031,9.205398559570312,,,
img_101_0,57.0,58.49712371826172,1.4971237182617188,,,
img_102_0,59.0,56.34443664550781,2.6555633544921875,,,
img_103_0,61.0,59.95668411254883,1.0433158874511719,,,
img_104_0,56.0,56.0379638671875,0.0379638671875,,,
img_105_0,68.0,67.39012145996094,0.6098785400390625,,,
img_106_0,62.0,62.7305908203125,0.7305908203125,,,
img_107_0,61.0,67.91461181640625,6.91461181640625,,,
img_108_0,54.0,58.07164001464844,4.0716400146484375,,,
img_109_0,57.0,61.18267822265625,4.18267822265625,,,
img_110_0,56.0,58.464900970458984,2.4649009704589844,,,
