img_id,ground_truth,prediction,abs_error,MAE,RMSE,R2
img_0_0,65.0,59.763370513916016,5.236629486083984,,,
img_1_0,77.0,67.11436462402344,9.885635375976562,,,
img_2_0,72.0,68.40533447265625,3.59466552734375,,,
img_3_0,69.0,67.42732238769531,1.5726776123046875,,,
img_4_0,66.0,63.9981575012207,2.001842498779297,,,
img_5_0,68.0,69.99422454833984,1.9942245483398438,,,
img_6_0,71.0,72.07449340820312,1.074493408203125,,,
img_7_0,72.0,70.73147583007812,1.268524169921875,,,
img_8_0,72.0,72.00443267822266,0.00443267822265625,,,
img_9_0,68.0,72.92926788330078,4.929267883300781,,,
img_10_0,67.0,70.7058334350586,3.7058334350585938,,,
img_11_0,70.0,65.81425476074219,4.1857452392578125,,,
img_12_0,69.0,67.57365417480469,1.4263458251953125,,,
img_13_0,68.0,69.33773803710938,1.337738037109375,,,
img_14_0,69.0,72.50584411621094,3.5058441162109375,,,
img_15_0,73.0,66.37859344482422,6.621406555175781,,,
img_16_0,78.0,70.09239196777344,7.9076080322265625,,,
img_17_0,66.0,71.53068542480469,5.5306854248046875,,,
img_18_0,66.0,72.20033264160156,6.2003326416015625,,,
img_19_0,64.0,64.32007598876953,0.32007598876953125,,,
img_20_0,67.0,69.39131164550781,2.3913116455078125,,,
img_21_0,61.0,55.22303771972656,5.7769622802734375,,,
img_22_0,65.0,66.69518280029297,1.6951828002929688,,,
img_23_0,62.0,62.94355392456055,0.9435539245605469,,,
img_24_0,80.0,68.7022705078125,11.2977294921875,,,
img_25_0,74.0,69.76078796386719,4.2392120361328125,,,
img_26_0,60.0,62.67900848388672,2.6790084838867188,,,
img_27_0,55.0,60.77522659301758,5.775226593017578,,,
img_28_0,80.0,79.78715515136719,0.2128448486328125,,,
img_29_0,64.0,55.69781494140625,8.30218505859375,,,
img_30_0,68.0,63.82320785522461,4.176792144775391,,,
img_31_0,58.0,53.22636032104492,4.773639678955078,,,
img_32_0,73.0,76.78121185302734,3.7812118530273438,,,
img_33_0,63.0,70.78097534179688,7.780975341796875,,,
img_34_0,55.0,68.01488494873047,13.014884948730469,,,
img_35_0,66.0,58.33682632446289,7.663173675537109,,,
img_36_0,48.0,60.238887786865234,12.238887786865234,,,
img_37_0,74.0,77.01457977294922,3.0145797729492188,,,
img_38_0,52.0,56.00967788696289,4.009677886962891,,,
img_39_0,65.0,74.74441528320312,9.744415283203125,,,
img_40_0,55.0,59.59687423706055,4.596874237060547,,,
img_41_0,71.0,73.01181030273438,2.011810302734375,,,
img_42_0,51.0,59.28666305541992,8.286663055419922,,,
img_43_0,74.0,64.74333190917969,9.256668090820312,,,
img_44_0,54.0,55.60298538208008,1.6029853820800781,,,
img_45_0,53.0,60.14308166503906,7.1430816650390625,,,
img_46_0,72.0,70.85078430175781,1.1492156982421875,,,
img_47_0,73.0,74.38761901855469,1.3876190185546875,,,
img_48_0,54.0,63.07627868652344,9.076278686523438,,,
img_49_0,78.0,74.65565490722656,3.3443450927734375,,,
img_50_0,73.0,71.87895202636719,1.1210479736328125,,,
img_51_0,65.0,66.10965728759766,1.1096572875976562,,,
img_52_0,74.0,81.4561996459961,7.456199645996094,,,
img_53_0,73.0,73.94451904296875,0.94451904296875,,,
img_54_0,66.0,60.637367248535156,5.362632751464844,,,
img_55_0,54.0,60.92966079711914,6.929660797119141,,,
img_56_0,58.0,60.96061325073242,2.960613250732422,,,
img_57_0,74.0,64.57786560058594,9.422134399414062,,,
img_58_0,63.0,65.16847229003906,2.1684722900390625,,,
img_59_0,76.0,73.46691131591797,2.5330886840820312,,,
img_60_0,59.0,62.854923248291016,3.8549232482910156,,,
img_61_0,82.0,70.57649230957031,11.423507690429688,,,
img_62_0,56.0,61.367828369140625,5.367828369140625,,,
img_63_0,68.0,66.16043090820312,1.839569091796875,,,
img_64_0,75.0,64.22081756591797,10.779182434082031,,,
img_65_0,53.0,52.057838439941406,0.9421615600585938,,,
img_66_0,51.0,63.130210876464844,12.130210876464844,,,
img_67_0,45.0,51.87503433227539,6.875034332275391,,,
img_68_0,74.0,76.3055419921875,2.3055419921875,,,
img_69_0,68.0,71.6884765625,3.6884765625,,,
img_70_0,75.0,71.5081787109375,3.4918212890625,,,
img_71_0,65.0,63.30929183959961,1.6907081604003906,,,
img_72_0,71.0,69.96112823486328,1.0388717651367188,,,
img_73_0,69.0,72.10255432128906,3.1025543212890625,,,
img_74_0,73.0,72.34963989257812,0.650360107421875,,,
img_75_0,78.0,73.31221008300781,4.6877899169921875,,,
img_76_0,70.0,65.5077133178711,4.492286682128906,,,
img_77_0,71.0,72.83484649658203,1.8348464965820312,,,
img_78_0,73.0,69.49007415771484,3.5099258422851562,,,
img_79_0,70.0,73.88874053955078,3.8887405395507812,,,
img_80_0,65.0,70.01982879638672,5.019828796386719,,,
img_81_0,83.0,70.7460708618164,12.253929138183594,,,
img_82_0,81.0,72.42158508300781,8.578414916992188,,,
img_83_0,69.0,69.63587188720703,0.6358718872070312,,,
img_84_0,66.0,67.9825668334961,1.9825668334960938,,,
img_85_0,62.0,76.893798828125,14.893798828125,,,
img_86_0,68.0,69.01155090332031,1.0115509033203125,,,
img_87_0,77.0,76.52320861816406,0.4767913818359375,,,
img_88_0,72.0,73.07568359375,1.07568359375,,,
img_89_0,66.0,59.82352828979492,6.176471710205078,,,
img_90_0,67.0,69.60087585449219,2.6008758544921875,,,
img_91_0,72.0,65.88401794433594,6.1159820556640625,,,
img_92_0,84.0,84.38365173339844,0.3836517333984375,,,
img_93_0,63.0,61.80590057373047,1.1940994262695312,,,
img_94_0,73.0,70.25589752197266,2.7441024780273438,,,
img_95_0,72.0,70.87628173828125,1.12371826171875,,,
img_96_0,81.0,74.4686279296875,6.5313720703125,,,
img_97_0,66.0,59.4687385559082,6.531261444091797,,,
img_98_0,79.0,71.17671203613281,7.8232879638671875,,,
img_99_0,63.0,55.972686767578125,7.027313232421875,,,
img_100_0,67.0,74.2010726928711,7.201072692871094,,,
img_101_0,57.0,59.02389144897461,2.0238914489746094,,,
img_102_0,59.0,57.89447021484375,1.10552978515625,,,
img_103_0,61.0,57.55261993408203,3.4473800659179688,,,
img_104_0,56.0,56.80038833618164,0.8003883361816406,,,
img_105_0,68.0,70.73048400878906,2.7304840087890625,,,
img_106_0,62.0,65.64781188964844,3.6478118896484375,,,
img_107_0,61.0,67.18246459960938,6.182464599609375,,,
img_108_0,54.0,55.77726364135742,1.7772636413574219,,,
img_109_0,57.0,60.26165771484375,3.26165771484375,,,
img_110_0,56.0,59.339439392089844,3.3394393920898438,,,
img_111_0,60.0,59.778987884521484,0.22101211547851562,,,
img_112_0,70.0,65.69880676269531,4.3011932373046875,,,
img_113_0,76.0,69.56980895996094,6.4301910400390625,,,
img_114_0,66.0,61.86794662475586,4.132053375244141,,,
img_115_0,59.0,62.32237243652344,3.3223724365234375,,,
img_116_0,74.0,62.90518569946289,11.09481430053711,,,
img_117_0,66.0,70.41997528076172,4.419975280761719,,,
img_118_0,55.0,54.3248291015625,0.6751708984375,,,
img_119_0,56.0,61.83206558227539,5.832065582275391,,,
img_120_0,63.0,71.44519805908203,8.445198059082031,,,
img_121_0,56.0,61.098880767822266,5.098880767822266,,,
img_122_0,56.0,55.50162887573242,0.4983711242675781,,,
img_123_0,44.0,51.711334228515625,7.711334228515625,,,
img_124_0,71.0,62.646148681640625,8.353851318359375,,,
img_125_0,39.0,53.852359771728516,14.852359771728516,,,
img_126_0,70.0,62.0193977355957,7.980602264404297,,,
img_127_0,46.0,55.539180755615234,9.539180755615234,,,
img_128_0,50.0,55.092342376708984,5.092342376708984,,,
img_129_0,72.0,72.36648559570312,0.366485595703125,,,
img_130_0,70.0,64.149658203125,5.850341796875,,,
img_131_0,37.0,46.23664474487305,9.236644744873047,,,
img_132_0,70.0,64.53732299804688,5.462677001953125,,,
img_133_0,34.0,48.02073287963867,14.020732879638672,,,
img_134_0,70.0,65.46405029296875,4.53594970703125,,,
img_135_0,56.0,50.73701477050781,5.2629852294921875,,,
img_136_0,55.0,56.15907669067383,1.1590766906738281,,,
img_137_0,51.0,54.42717742919922,3.4271774291992188,,,
img_138_0,66.0,61.331546783447266,4.668453216552734,,,
img_139_0,48.0,49.3101921081543,1.3101921081542969,,,
img_140_0,68.0,64.42282104492188,3.577178955078125,,,
img_141_0,63.0,54.53269577026367,8.467304229736328,,,
img_142_0,67.0,64.1275405883789,2.8724594116210938,,,
img_143_0,65.0,62.80348587036133,2.196514129638672,,,
